"recommendation_37315","kindle_10152","1.0"
"recommendation_172222","kindle_42993","1.0"
"recommendation_14967","kindle_16133","1.0"
"recommendation_42017","kindle_47308","0.8"
"recommendation_21627","kindle_30","1.0"
"recommendation_9197","kindle_2674","1.0"
"recommendation_6874","kindle_30769","1.0"
"recommendation_6543","kindle_46655","1.0"
"recommendation_53503","kindle_1644","1.0"
"recommendation_125948","kindle_13484","1.0"
"recommendation_180390","kindle_36808","1.0"
"recommendation_166570","kindle_29531","1.0"
"recommendation_72805","kindle_35947","1.0"
"recommendation_157830","kindle_4783","1.0"
"recommendation_199827","kindle_10527","1.0"
"recommendation_80274","kindle_46648","1.0"
"recommendation_7785","kindle_39270","0.8"
"recommendation_3450","kindle_29894","1.0"
"recommendation_43916","kindle_13027","1.0"
"recommendation_61695","kindle_27557","1.0"
"recommendation_81950","kindle_10593","1.0"
"recommendation_55452","kindle_18817","1.0"
"recommendation_84092","kindle_3060","1.0"
"recommendation_62736","kindle_7299","1.0"
"recommendation_86921","kindle_33201","1.0"
"recommendation_46760","kindle_16910","1.0"
"recommendation_33283","kindle_8003","1.0"
"recommendation_10994","kindle_37598","1.0"
"recommendation_205094","kindle_18487","1.0"
"recommendation_255141","kindle_41597","1.0"
"recommendation_234578","kindle_3911","0.8"
"recommendation_115308","kindle_13469","1.0"
"recommendation_2604","kindle_13501","1.0"
"recommendation_62949","kindle_22050","1.0"
"recommendation_168315","kindle_47061","1.0"
"recommendation_85924","kindle_13570","0.8"
"recommendation_232355","kindle_30476","1.0"
"recommendation_18856","kindle_46666","1.0"
"recommendation_158294","kindle_5854","1.0"
"recommendation_71822","kindle_7883","1.0"
"recommendation_77286","kindle_11730","1.0"
"recommendation_78301","kindle_9124","1.0"
"recommendation_103174","kindle_27389","1.0"
"recommendation_32452","kindle_41692","0.8"
"recommendation_2920","kindle_24773","1.0"
"recommendation_37627","kindle_8142","1.0"
"recommendation_49999","kindle_21516","1.0"
"recommendation_216099","kindle_40932","1.0"
"recommendation_50566","kindle_3793","1.0"
"recommendation_147163","kindle_27754","1.0"
"recommendation_228276","kindle_46521","1.0"
"recommendation_62350","kindle_34837","0.8"
"recommendation_94429","kindle_25946","1.0"
"recommendation_61013","kindle_11491","1.0"
"recommendation_76782","kindle_2969","1.0"
"recommendation_134618","kindle_21737","1.0"
"recommendation_1704","kindle_46441","1.0"
"recommendation_127708","kindle_44745","0.8"
"recommendation_244427","kindle_18518","1.0"
"recommendation_215946","kindle_11501","0.8"
"recommendation_226044","kindle_19392","0.8"
"recommendation_148582","kindle_41210","1.0"
"recommendation_213245","kindle_715","1.0"
"recommendation_61405","kindle_22053","1.0"
"recommendation_44087","kindle_11734","1.0"
"recommendation_254174","kindle_17484","1.0"
"recommendation_34500","kindle_2636","1.0"
"recommendation_103716","kindle_46440","1.0"
"recommendation_101551","kindle_26935","1.0"
"recommendation_49058","kindle_27483","1.0"
"recommendation_188966","kindle_40366","1.0"
"recommendation_8146","kindle_4636","1.0"
"recommendation_190588","kindle_29499","1.0"
"recommendation_55031","kindle_14468","1.0"
"recommendation_19296","kindle_29897","1.0"
"recommendation_551","kindle_45054","1.0"
"recommendation_71929","kindle_35999","1.0"
"recommendation_187829","kindle_45943","1.0"
